Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,KeeSean Johnson (15905421),KeeSean Johnson,15905421,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,ARI,3.58
WR,Trent Sherfield (15905423),Trent Sherfield,15905423,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,ARI,0.27
WR,Austin Mack (15905425),Austin Mack,15905425,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,NYG,4.73
WR,C.J. Board (15905427),C.J. Board,15905427,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,NYG,2.09
WR,Dante Pettis (15905429),Dante Pettis,15905429,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,NYG,-0.25
WR,David Sills (15905431),David Sills,15905431,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,NYG,0
WR,Cody Core (15905433),Cody Core,15905433,WR/FLEX,3000,ARI@NYG 12/13/2020 01:00PM ET,NYG,0
WR,Malcolm Perry (15905305),Malcolm Perry,15905305,WR/FLEX,3000,KC@MIA 12/13/2020 01:00PM ET,MIA,2.66
WR,Mack Hollins (15905409),Mack Hollins,15905409,WR/FLEX,3000,KC@MIA 12/13/2020 01:00PM ET,MIA,2.39
WR,Antonio Callaway (15905411),Antonio Callaway,15905411,WR/FLEX,3000,KC@MIA 12/13/2020 01:00PM ET,MIA,1.33
WR,Lynn Bowden Jr. (15905413),Lynn Bowden Jr.,15905413,WR/FLEX,3000,KC@MIA 12/13/2020 01:00PM ET,MIA,2.2
WR,Marcus Kemp (15905415),Marcus Kemp,15905415,WR/FLEX,3000,KC@MIA 12/13/2020 01:00PM ET,KC,0.52
WR,Byron Pringle (15905417),Byron Pringle,15905417,WR/FLEX,3000,KC@MIA 12/13/2020 01:00PM ET,KC,3.69
WR,Noah Brown (15905393),Noah Brown,15905393,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,DAL,2.51
WR,Malik Turner (15905395),Malik Turner,15905395,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,DAL,0
WR,A.J. Green (15905397),A.J. Green,15905397,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,CIN,6.39
WR,Mike Thomas (15905399),Mike Thomas,15905399,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,CIN,3.48
WR,Alex Erickson (15905401),Alex Erickson,15905401,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,CIN,0.58
WR,Stanley Morgan (15905403),Stanley Morgan,15905403,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,CIN,0
WR,Auden Tate (15905405),Auden Tate,15905405,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,CIN,3.62
WR,John Ross III (15905407),John Ross III,15905407,WR/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,CIN,1.85
TE,Drew Sample (15905549),Drew Sample,15905549,TE/FLEX,3000,DAL@CIN 12/13/2020 01:00PM ET,CIN,5.18
WR,Freddie Swain (15905379),Freddie Swain,15905379,WR/FLEX,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,3.27
WR,Penny Hart (15905381),Penny Hart,15905381,WR/FLEX,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,0
WR,Josh Gordon (15905383),Josh Gordon,15905383,WR/FLEX,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,0
WR,Phillip Dorsett II (15905385),Phillip Dorsett II,15905385,WR/FLEX,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,0
WR,Braxton Berrios (15905387),Braxton Berrios,15905387,WR/FLEX,3000,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,5.41
WR,Jeff Smith (15905389),Jeff Smith,15905389,WR/FLEX,3000,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,4.47
WR,Vyncint Smith (15905391),Vyncint Smith,15905391,WR/FLEX,3000,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,0.77
DST,Seahawks  (15905738),Seahawks ,15905738,DST,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,5.83
WR,Bryan Edwards (15905363),Bryan Edwards,15905363,WR/FLEX,3000,IND@LV 12/13/2020 04:05PM ET,LV,3.01
WR,Zay Jones (15905365),Zay Jones,15905365,WR/FLEX,3000,IND@LV 12/13/2020 04:05PM ET,LV,3.6
WR,Tyrell Williams (15905367),Tyrell Williams,15905367,WR/FLEX,3000,IND@LV 12/13/2020 04:05PM ET,LV,0
